"","cyear","ccode","scode","country","year","democ","autoc","polity","polity2","region","GDP_per _capita","population"
"58",3682017,368,"LIT","Lithuania",2017,10,0,10,10,"Europe and North America",16680.6780952339,2827721
"59",3692017,369,"UKR","Ukraine",2017,5,1,4,4,"Europe and North America",2639.82432586795,44831159
"60",3702017,370,"BLR","Belarus",2017,0,7,-7,-7,"Europe and North America",5726.02967250931,9507875
"61",3712017,371,"ARM","Armenia",2017,5,0,5,5,"Asia",3936.79831965287,2930450
"62",3722017,372,"GRG","Georgia",2017,8,1,7,7,"Asia",4078.25487917912,3717100
"63",3732017,373,"AZE","Azerbaijan",2017,0,7,-7,-7,"Asia",4131.61831005055,9862429
"64",3752017,375,"FIN","Finland",2017,10,0,10,10,"Europe and North America",45703.327865074,5511303
"65",3802017,380,"SWD","Sweden",2017,10,0,10,10,"Europe and North America",53442.0082808022,10067744
"66",3852017,385,"NOR","Norway",2017,10,0,10,10,"Europe and North America",75504.5662551423,5282223
"67",3902017,390,"DEN","Denmark",2017,10,0,10,10,"Europe and North America",56307.5082995258,5769603
"68",4022017,402,"CAP","Cabo Verde",2017,10,0,10,10,"Africa",3209.7,546388
"69",4042017,404,"GNB","Guinea-Bissau",2017,7,1,6,6,"Europe and North America",723.658621625927,1861283
"70",4112017,411,"EQG","Equatorial Guinea",2017,0,6,-6,-6,"Africa",9850.01358478141,1267689
"71",4202017,420,"GAM","Gambia, The",2017,4,0,4,4,"Africa",483,2100568
"72",4322017,432,"MLI","Mali",2017,6,1,5,5,"Africa",824.516225735344,18541980
"73",4332017,433,"SEN","Senegal",2017,7,0,7,7,"Africa",1033.06990554174,15850567
"74",4342017,434,"BEN","Benin",2017,7,0,7,7,"Africa",829.797230600794,11175692
"75",4352017,435,"MAA","Mauritania",2017,0,2,-2,-2,"Africa",1136.76397506006,4420184
"76",4362017,436,"NIR","Niger",2017,6,1,5,5,"Africa",378.060307656456,21477348
"77",4372017,437,"IVO","Cote D'Ivoire",2017,5,1,4,4,"Africa",1662.44246666917,24294750
